Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.11     0.00     8602     0.00     0.00  void std::pop_heap<__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, greater_edge<edge> >(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, greater_edge<edge>)
  0.00      6.11     0.00     8004     0.00     0.00  __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >::base() const
  0.00      6.11     0.00     8004     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, false>::_S_base(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >)
  0.00      6.11     0.00     8004     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, true>::_S_base(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >)
  0.00      6.11     0.00     8004     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > > >(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >)
  0.00      6.11     0.00     8004     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > > >(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >)
  0.00      6.11     0.00     6622     0.00     0.00  std::_Iter_base<edge*, false>::_S_base(edge*)
  0.00      6.11     0.00     6374     0.00     0.00  std::_Niter_base<edge*>::iterator_type std::__niter_base<edge*>(edge*)
  0.00      6.11     0.00     6070     0.00     0.00  void std::_Destroy_aux<true>::__destroy<edge*>(edge*, edge*)
  0.00      6.11     0.00     6070     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_deallocate(edge*, unsigned long)
  0.00      6.11     0.00     6070     0.00     0.00  void std::_Destroy<edge*>(edge*, edge*)
  0.00      6.11     0.00     6070     0.00     0.00  void std::_Destroy<edge*, edge>(edge*, edge*, std::allocator<edge>&)
  0.00      6.11     0.00     6064     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_allocate(unsigned long)
  0.00      6.11     0.00     6008     0.00     0.00  __gnu_cxx::new_allocator<edge>::~new_allocator()
  0.00      6.11     0.00     4186     0.00     0.00  __gnu_cxx::new_allocator<edge>::max_size() const
  0.00      6.11     0.00     4126     0.00     0.00  edge* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<edge>(edge const*, edge const*, edge*)
  0.00      6.11     0.00     4062     0.00     0.00  __gnu_cxx::new_allocator<edge>::deallocate(edge*, unsigned long)
  0.00      6.11     0.00     4062     0.00     0.00  __gnu_cxx::new_allocator<edge>::allocate(unsigned long, void const*)
  0.00      6.11     0.00     4062     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<edge> >::deallocate(std::allocator<edge>&, edge*, unsigned long)
  0.00      6.11     0.00     4062     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<edge> >::allocate(std::allocator<edge>&, unsigned long)
  0.00      6.11     0.00     4008     0.00     0.00  std::allocator<edge>::~allocator()
  0.00      6.11     0.00     4008     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_Vector_impl::~_Vector_impl()
  0.00      6.11     0.00     4008     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::~_Vector_base()
  0.00      6.11     0.00     4008     0.00     0.00  std::vector<edge, std::allocator<edge> >::~vector()
  0.00      6.11     0.00     4002     0.00     0.00  __gnu_cxx::new_allocator<edge>::new_allocator(__gnu_cxx::new_allocator<edge> const&)
  0.00      6.11     0.00     4002     0.00     0.00  std::vector<edge, std::allocator<edge> >::end() const
  0.00      6.11     0.00     4002     0.00     0.00  std::allocator<edge>::allocator(std::allocator<edge> const&)
  0.00      6.11     0.00     4002     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_Vector_impl::_Vector_impl(std::allocator<edge> const&)
  0.00      6.11     0.00     4002     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_create_storage(unsigned long)
  0.00      6.11     0.00     4002     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_Vector_base(unsigned long, std::allocator<edge> const&)
  0.00      6.11     0.00     4002     0.00     0.00  edge* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*>(__gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >, edge*)
  0.00      6.11     0.00     4002     0.00     0.00  edge* std::__copy_move_a<false, edge const*, edge*>(edge const*, edge const*, edge*)
